task_id,dataset_id,dataset_name,target_column,model,n_samples,n_features,n_classes,accuracy,balanced_accuracy,f1_score,precision,recall,training_time,status,error,data_source,metrics_complete,numeric_features,categorical_features,missing_percentage
146819,40994,climate-model-simulation-crashes,outcome,RandomForest,540.0,18.0,2.0,0.925925925925926,0.5555555555555556,0.8977346278317152,0.9314641744548284,0.925925925925926,0.4047753810882568,success,,openml,True,18,0,0.0
146819,40994,climate-model-simulation-crashes,outcome,SVM,540.0,18.0,2.0,0.9351851851851852,0.6111111111111112,0.9156688839615668,0.9394654088050316,0.9351851851851852,0.0367727279663085,success,,openml,True,18,0,0.0
146819,40994,climate-model-simulation-crashes,outcome,XGBoost,540.0,18.0,2.0,0.9537037037037036,0.7222222222222222,0.94537072123279,0.9559294871794872,0.9537037037037036,0.1740772724151611,success,,openml,True,18,0,0.0
3,3,kr-vs-kp,class,XGBoost,3196.0,36.0,2.0,0.99375,0.9938749951078236,0.9937507947687102,0.993771025661086,0.99375,2.128834247589112,success,,openml,True,0,36,0.0
6,6,letter,class,LogisticRegression,20000.0,16.0,26.0,0.7695,0.7679816372392879,0.7686810585131804,0.7699034555082614,0.7695,0.5304787158966064,success,,openml,True,16,0,0.0
6,6,letter,class,DecisionTree,20000.0,16.0,26.0,0.8785,0.8782710891982457,0.8786905941366987,0.8794194991584475,0.8785,0.1156768798828125,success,,openml,True,16,0,0.0
6,6,letter,class,RandomForest,20000.0,16.0,26.0,0.96725,0.9669443029351292,0.9673049590693382,0.967649576461288,0.96725,0.7497239112854004,success,,openml,True,16,0,0.0
6,6,letter,class,KNN,20000.0,16.0,26.0,0.9495,0.9492371358440722,0.9495938074241144,0.950528062917264,0.9495,1.7426109313964844,success,,openml,True,16,0,0.0
6,6,letter,class,SVM,20000.0,16.0,26.0,0.94425,0.9439115864621584,0.9444927942989186,0.945679255926018,0.94425,14.127497673034668,success,,openml,True,16,0,0.0
6,6,letter,class,XGBoost,20000.0,16.0,26.0,0.965,0.9648065176266531,0.9650622548877515,0.965461029764711,0.965,3.968415498733521,success,,openml,True,16,0,0.0
11,11,balance-scale,class,LogisticRegression,625.0,4.0,3.0,0.864,0.6261343012704174,0.828117508160289,0.7955040983606557,0.864,0.0214076042175292,success,,openml,True,4,0,0.0
11,11,balance-scale,class,DecisionTree,625.0,4.0,3.0,0.72,0.5217785843920145,0.7641428571428571,0.8173462282398453,0.72,0.0130233764648437,success,,openml,True,4,0,0.0
11,11,balance-scale,class,RandomForest,625.0,4.0,3.0,0.792,0.5737043758822343,0.8056727272727272,0.820377358490566,0.792,0.3540723323822021,success,,openml,True,4,0,0.0
11,11,balance-scale,class,KNN,625.0,4.0,3.0,0.792,0.573805202661827,0.7991578947368421,0.8065714285714286,0.792,0.0156788825988769,success,,openml,True,4,0,0.0
11,11,balance-scale,class,SVM,625.0,4.0,3.0,0.896,0.6493244605767292,0.8593904523660622,0.8273158705701079,0.896,0.032912254333496,success,,openml,True,4,0,0.0
11,11,balance-scale,class,XGBoost,625.0,4.0,3.0,0.856,0.6199838677152651,0.8452060123784261,0.8347118644067797,0.856,0.2805004119873047,success,,openml,True,4,0,0.0
12,12,mfeat-factors,class,LogisticRegression,2000.0,216.0,10.0,0.97,0.97,0.9699898091780874,0.9705273150042084,0.97,0.2455198764801025,success,,openml,True,216,0,0.0
12,12,mfeat-factors,class,DecisionTree,2000.0,216.0,10.0,0.8875,0.8875,0.8872451381618603,0.8888322652956799,0.8875,0.1841287612915039,success,,openml,True,216,0,0.0
12,12,mfeat-factors,class,RandomForest,2000.0,216.0,10.0,0.9675,0.9675,0.9674451359924962,0.9685435496269302,0.9675,0.4445033073425293,success,,openml,True,216,0,0.0
12,12,mfeat-factors,class,KNN,2000.0,216.0,10.0,0.965,0.965,0.9649616526620746,0.9653564727954972,0.965,0.0516297817230224,success,,openml,True,216,0,0.0
12,12,mfeat-factors,class,SVM,2000.0,216.0,10.0,0.9675,0.9675,0.967488665706737,0.9682109354060572,0.9675,0.4354524612426758,success,,openml,True,216,0,0.0
12,12,mfeat-factors,class,XGBoost,2000.0,216.0,10.0,0.9675,0.9675,0.9675458166838942,0.968489595208406,0.9675,2.2983431816101074,success,,openml,True,216,0,0.0
14,14,mfeat-fourier,class,LogisticRegression,2000.0,76.0,10.0,0.8475,0.8474999999999999,0.8472180748358086,0.8529500828119247,0.8475,0.0927727222442627,success,,openml,True,76,0,0.0
14,14,mfeat-fourier,class,DecisionTree,2000.0,76.0,10.0,0.74,0.74,0.7378284944711675,0.7422184790161104,0.74,0.1198093891143798,success,,openml,True,76,0,0.0
14,14,mfeat-fourier,class,RandomForest,2000.0,76.0,10.0,0.865,0.8649999999999999,0.8633513236554413,0.8632535156499987,0.865,0.4056451320648193,success,,openml,True,76,0,0.0
14,14,mfeat-fourier,class,KNN,2000.0,76.0,10.0,0.855,0.8549999999999999,0.8537898429424614,0.8537001167673317,0.855,0.041940689086914,success,,openml,True,76,0,0.0
14,14,mfeat-fourier,class,SVM,2000.0,76.0,10.0,0.8775,0.8774999999999998,0.8758197148727719,0.8754983593580729,0.8775,0.7456858158111572,success,,openml,True,76,0,0.0
